6.07, 100.22
5.58, 116.06
5.52, -55.10
5.40, -67.38
5.31, 95.25
5.30, -0.10
5.25, 100.19
5.20, -4.01
4.60, 101.07
4.56, -52.20
4.55, -1.46
4.53, 114.56
4.51, 31.36
4.45, 7.0
4.37, -74.05
4.23, 113.58
4.22, 18.35
4.10, 73.30
4.03, 9.41
3.52, 11.31
3.45, 8.46
3.35, 98.40
3.25, -76.32
3.08, 101.42
2.49, -60.40
2.11, 102.23
2.04, 45.22
1.33, 110.25
1.29, 103.44
1.19, 172.58
1.17, 103.51
0.32, 101.27
0.23, 9.27
0.20, 6.41
0.19, 32.35
0.04, 32.27
0.02, -51.03
-0.00, 109.20
-0.15, -78.35
-0.21, 42.33
-0.33, 166.55
-0.57, 100.21
-1.15, 116.50
-1.17, 36.48
-1.28, -48.29
-1.57, 30.04
-2.11, -79.53
-2.31, -44.18
-2.59, 104.45
-3.06, -60.01
-3.23, 29.22
-3.42, 128.10
-3.46, -38.34
-4.03, 39.40
-4.16, 15.17
-4.19, 15.19
-4.37, 55.27
-5.06, -42.48
-5.08, 119.25
-5.32, -47.29
-5.47, -35.12
-6.10, 39.12
-6.10, 35.44
-6.11, 106.50
-6.36, 106.48
-6.48, 39.17
-6.57, 107.34
-6.58, 110.25
-7.07, -34.51
-7.14, 112.44
-7.58, 112.37
-8.01, -79.00
-8.04, -34.52
-8.31, 179.13
-8.34, 125.34
-8.39, 115.13
-8.46, -63.54
-8.50, 13.14
-9.28, 159.49
-9.30, 147.12
-9.39, -35.44
-9.59, -67.48
-10.12, -48.21
-10.54, -37.02
-11.45, 43.12
-11.52, -55.30
-12.03, -77.02
-12.27, 130.50
-12.58, 28.38
-12.46, 15.44
-12.47, 45.13
-12.58, -38.30
-13.09, -74.13
-13.50, -171.50
-13.59, 33.47
-14.16, -170.42
-14.47, -39.02
-15.25, 28.17
-15.36, -56.05
-15.40, 34.58
-15.47, -47.54
-16.24, -71.32
-16.30, -68.08
-16.41, -49.15
-16.57, 145.45
-17.32, -149.34
-17.45, -63.14
-17.45, 168.18
-17.51, 25.52
-17.52, 31.02
-18.10, 178.27
-18.28, -70.18
-18.55, 47.31
-19.03, -65.16
-19.15, 146.46
-19.55, -43.56
-20.10, 28.34
-20.10, 57.31
-20.13, -70.10
-20.18, 118.36
-20.19, -40.20
-20.26, -54.38
-20.52, 55.28
-21.10, 27.30
-21.08, -175.12
-22.17, -166.27
-22.27, -68.56
-22.34, 17.5
-22.54, -47.03
-22.54, -43.14
-23.22, 150.31
-23.33, -46.38
-23.38, -70.23
-23.54, 29.27
-24.39, 25.54
-24.47, -65.25
-25.16, -57.40
-25.25, -49.17
-25.28, 30.59
-25.44, 28.11
-25.51, 25.38
-25.58, 32.35
-26.08, 27.54
-26.19, 31.08
-26.50, -65.13
-27.22, -70.20
-27.25, -48.32
-27.28, 153.02
-28.00, 153.25
-28.45, 24.46
-29.18, 27.28
-29.37, 30.23
-29.53, 31.03
-29.06, 26.13
-29.54, -71.15
-30.01, -51.13
-31.24, -64.11
-31.46, -52.21
-31.58, 115.49
-32.53, 27.23
-32.53, -68.50
-32.55, 151.47
-32.57, -60.40
-33.03, -71.37
-33.27, -70.39
-33.41, -53.26
-33.52, 151.13
-33.55, 18.25
-33.57, 25.38
-34.40, -58.24
-34.53, -56.10
-34.55, 138.36
-35.17, 149.08
-36.50, -73.03
-36.51, 174.47
-37.47, 175.17
-37.49, 144.58
-38.43, -62.16
-38.45, -72.40
-39.38, 176.50
-39.40, -73.14
-41.09, -71.18
-41.17, 174.47
-41.17, 173.17
-41.28, -72.56
-42.53, 147.18
-43.15, -65.18
-43.32, 172.37
-45.24, -72.41
-45.34, -72.04
-45.52, -67.29
-45.52, 170.30
-46.25, 168.19
-51.38, -69.13
-51.42, -57.51
-53.10, -70.56
-54.17, -36.31
-54.48, -68.18
-54.56, -67.37
-55.01, -67.06
